,Title,Company,Description,Type,Maximum,Minimum,isYearly
283,FPGA Developer – Singapore,Oxford Knight,"Sophisticated Prop Trading Firm
Singapore
Posted 2 Wks Ago
Salary: up to 250-275k SGD base

Summary
High-frequency prop trading firm with offices worldwide is looking to expand its Trading Platforms teams with a talented FPGA Developer.
This team develops, improves, and governs the platforms via which trading teams access markets, as well as enabling Risk Technology to control market access and trading. In this role, your main focus will be working collaboratively with software developers across the business to architect low-latency connections to global financial exchanges. You’ll build advanced Ethernet-based comms stacks direct from chip to SFP, integrate network stacks to connect to various exchanges, and develop an optimal interface between FPGA hardware and user space software.
You will be expected to be a skilled communicator, able to clearly document specifications and solve difficult technical problems in a fast-paced, dynamic environment.
Requirements
Bachelor’s degree in Electrical Engineering, or equivalent professional experience
5-10 years of FPGA development experience, including expert-level knowledge of FPGA products (Xilinx preferred), development tools, and related simulators
Verilog or System Verilog programming (ASIC development via VHDL or Verilog experience will be considered)
C or C++ programming
Experience with Ethernet protocols, pci-e, and/or switching and routing in network equipment, parsing and traffic shaping
Experience in FPGA design flow including synthesis, place & route, static timing analysis
A strong understanding of network PHY interfacing
NB: Please don’t apply if you are a fresh graduate.
Benefits
Competitive salary + performance-based bonuses
Generous benefits, including medical insurance and gym membership
Collaborative and friendly environment with smart, highly engaged colleagues
Relaxed, dress-down office culture, with breakfast, lunch and snacks provided
Job Type
Permanent
Specialties
C/C++,FPGA,Hardware,HFT,Prop Trading,Software Engineer,Verilog
Contact
If this sounds like you or you would like to know more, please get in touch:
Andy Stirling-Martin
andy@oxfordknight.co.uk
+44 (0)20 3137 9579
linkedin.com/in/andrew-stirling-martin-7664a946
Salary
up to 250-275k SGD base",Permanent,275000,250000,True
225,Senior Software (C++) Engineer | Singapore or Hong Kong- Sophisticated Prop Trading Firm,Oxford Knight,"Salary: up to 250-275k SGD base

Summary

High-frequency prop trading firm with offices worldwide looking for a talented C++ Engineer to join the Markets team, providing the trading strategies access to a wide, growing range of global markets.

Enjoying a varied project portfolio, in this role you will use clean, efficient code to design and develop various components for the high frequency trading platform, collecting quotes and trades from exchanges around the world. You'll also optimize the platform using network & systems programming, as well as developing systems to provide easy access to historical market data.

If you have creative, insightful problem-solving abilities and can manage multiple tasks in a fast-paced trading environment, then apply now!

Requirements
5+ years of practical experience in C++ development, preferably with some Python and shell scripts knowledge
Strong proficiency with data structures, algorithms, and OOP
Solid working understanding of Linux operating system and Networking (TCP/IP and UDP) is plus
Degree in Computer Science or related field
Trading environment experience is beneficial

NB: Please don't apply if you are a fresh graduate.

Benefits
Competitive salary + performance-based bonuses
Generous benefits, including medical insurance and gym membership
Collaborative and friendly environment with smart, highly engaged colleagues
Relaxed, dress-down office culture, with breakfast, lunch and snacks provided


Contact
If this sounds like you or you would like to know more, please get in touch:

Andy Stirling-Martin
andy@oxfordknight.co.uk
+44 (0)20 3137 9579
linkedin.com/in/andrew-stirling-martin-7664a946","Full-time, Permanent",275000,250000,True
166,Data Engineer | Singapore or Hong Kong- Sophisticated Prop Trading Firm,Oxford Knight,"Salary: up to 250-275k SGD base

Summary

High-frequency prop trading firm with offices worldwide looking for a talented Data Engineer to design, implement and maintain the infrastructure which underpins the firm's data management processes.

Collaborating with other members of the Data Services team, Portfolio Management teams, and colleagues across IT, your primary focus will be the reliability, security and scalability of data systems. This will include automation, troubleshooting, understanding requirements & developing solutions, implementing ETL processes, monitoring, overseeing Airflow workflows, and staying across the latest trends in order to recommend improvements to data processes.

You'll be expected to have outstanding communication and collaboration skills, and a real passion for meeting users' needs.

Requirements
Minimum 2 years' experience using Python and ETL-related libraries, such as pyodbc, SQLAlchemy, and Django
Strong proficiency with database systems, e.g. SQL Server, PostgreSQL, or MySQL
Sound experience with ETL processes, data modeling, and database design principles
Familiarity with database backup & recovery procedures, database security, and disaster recovery planning, plus exposure to Airflow DAG
Bachelor's degree in Computer Science, Information Technology, or related field

NB: Please don't apply if you are a fresh graduate.

Benefits
Competitive salary + performance-based bonuses
Generous benefits, including medical insurance and gym membership
Collaborative and friendly environment with smart, highly engaged colleagues
Relaxed, dress-down office culture, with breakfast, lunch and snacks provided


Contact
If this sounds like you or you would like to know more, please get in touch:

Andy Stirling-Martin
andy@oxfordknight.co.uk
020 3137 9579
linkedin.com/in/andrew-stirling-martin-7664a946","Full-time, Permanent",275000,250000,True
165,Senior Software (C++) Engineer | Singapore or Hong Kong- Sophisticated Prop Trading Firm,Oxford Knight,"Salary: up to 250-275k SGD base

Summary

High-frequency prop trading firm with offices worldwide looking for a talented C++ Engineer to join the Markets team, providing the trading strategies access to a wide, growing range of global markets.

Enjoying a varied project portfolio, in this role you will use clean, efficient code to design and develop various components for the high frequency trading platform, collecting quotes and trades from exchanges around the world. You'll also optimize the platform using network & systems programming, as well as developing systems to provide easy access to historical market data.

If you have creative, insightful problem-solving abilities and can manage multiple tasks in a fast-paced trading environment, then apply now!

Requirements
5+ years of practical experience in C++ development, preferably with some Python and shell scripts knowledge
Strong proficiency with data structures, algorithms, and OOP
Solid working understanding of Linux operating system and Networking (TCP/IP and UDP) is plus
Degree in Computer Science or related field
Trading environment experience is beneficial

NB: Please don't apply if you are a fresh graduate.

Benefits
Competitive salary + performance-based bonuses
Generous benefits, including medical insurance and gym membership
Collaborative and friendly environment with smart, highly engaged colleagues
Relaxed, dress-down office culture, with breakfast, lunch and snacks provided


Contact
If this sounds like you or you would like to know more, please get in touch:

Andy Stirling-Martin
andy@oxfordknight.co.uk
+44 (0)20 3137 9579
linkedin.com/in/andrew-stirling-martin-7664a946","Full-time, Permanent",275000,250000,True
151,Senior Site Reliability Engineer - Singapore or Hong Kong- Sophisticated Prop Trading Firm,Oxford Knight,"Salary: up to 250-275k SGD base

Summary

High-frequency prop trading firm with offices worldwide looking for skilled Senior Site Reliability Engineer developer to support and maintain their Linux trading infrastructure on a day-to-day basis.

This is a pivotal role where you will lead designs of major software components and systems to improve the availability, latency and efficiency of trading services. To achieve this, you'll provide level II support (including emergency response, planned changes, and advanced performance troubleshooting), contribute tools & services, regularly interact with trading and core engineering, and provide guidance and mentorship to team members.

The ideal candidate will have a systematic approach to problem solving, and experience of architecting, developing and troubleshooting systems.

Requirements
Strong experience in a Linux production environment, with prior experience in software engineering
Expert knowledge of Python and Bash
Regular use and development of automation & monitoring tools, e.g. config management, source control, CI/CD, automated deployment
Good understanding of OS concepts and internals of Linux
Working knowledge of Intel-based hardware and server components
Understanding of server-side networking and typical network protocols

NB: Please don't apply if you're a fresh graduate.

Benefits
Competitive salary + performance-based bonuses
Generous benefits, including medical insurance and gym membership
Collaborative and friendly environment with smart, highly engaged colleagues
Relaxed, dress-down office culture, with breakfast, lunch and snacks provided


Contact
If this sounds like you or you would like to know more, please get in touch:

Andy Stirling-Martin
andy@oxfordknight.co.uk
+44 (0)20 3137 9579
linkedin.com/in/andrew-stirling-martin-7664a946","Full-time, Permanent",275000,250000,True
275,"Software Developer, C++ | Singapore",Oxford Knight,"Sophisticated Prop Trading Firm
Singapore
Posted 2 Wks Ago
Salary: up to 250-275k SGD base

Summary
High-frequency prop trading firm with offices worldwide looking for an outstanding C++ Software Developer to join one of their in-house trading teams as they design a low-latency, high throughput trading and research system.
Enjoying high levels of autonomy, in this role you will use clean, efficient code to design and develop various components for the high frequency trading platform, collecting quotes and trades from exchanges around the world. You’ll also contribute to the development and optimization of large-scale parallel computation problems, and improve performance by optimizing efficiency of machine learning-based algorithms.
The ideal candidate will be comfortable managing multiple tasks to completion in a fast-paced environment and have highly analytical problem-solving abilities.
Requirements
5+ years of practical experience in C++ and 3 years with Python
Strong proficiency with data structures, algorithms, and OOP
Sound experience using other programming languages, e.g. Java
Solid working knowledge of Linux and SQL
Self-starter, with a passion for innovation and building systems from scratch
NB: Please don’t apply if you are a fresh graduate.
Benefits
Competitive salary + performance-based bonuses
Generous benefits, including medical insurance and gym membership
Collaborative and friendly environment with smart, highly engaged colleagues
Relaxed, dress-down office culture, with breakfast, lunch and snacks provided
Job Type
Permanent
Specialties
C++,Data Structures,HFT,Linux,Prop Trading,Python,Software Engineer,SQL
Contact
If this sounds like you or you would like to know more, please get in touch:
Andy Stirling-Martin
andy@oxfordknight.co.uk
+44 (0)20 3137 9579
linkedin.com/in/andrew-stirling-martin-7664a946
Salary
up to 250-275k SGD base",Permanent,275000,250000,True
91,"Python Engineer, Crypto - Singapore- Global Quant Firm",Oxford Knight,"Salary: up to £200k base + bonus

Summary

Unique in their field, this HFT fund has the lively, positive spirit of a start-up with the stability of a longer-established player. They hire exceptional talent in Maths, Physics and Computer Science, from across the trading, tech and start-up industries, to apply cutting-edge research to global financial markets.

Their crypto trading team is looking to hire a hybrid quant/dev, well-versed in Python, who can excel in the fast-paced, rapidly changing world of cryptocurrency.

In this role, you will be directly responsible for advancing the team's trading footprint. Your work will include building and optimizing trading strategies; researching new protocols and datasources; designing and improving our research and trading systems; and collaborating with team members and others to advance the team's dual mission of being the top crypto trader in the world and a major contributor in the crypto ecosystem.

The successful Python Engineer will appreciate cleanly architected systems and be willing to do the dirty work to ensure team standards are raised. You will also make decisions to optimize the team's productivity, going the long way round if it helps make the code more scalable and robust.

Requirements
2+ years' programming experience in Python
Exceptional programmer, with high personal coding standards
Strong understanding of Unix and git
Ability to drive long-term projects independently and creatively
Bonus points for experience with distributed systems and/or an interest in open-source software
Exposure to or an interest in cryptocurrencies is a big plus

NB: Please do not apply if you are a fresh graduate.

Benefits
Competitive base salary & bonus
They're willing to be flexible with WFH
Enormous opportunity to grow, learn and have an impact
Contributions are rewarded; career progression supported
Unique culture where you can fulfil your potential through collaboration and mutual respect


Contact
If this sounds like you, or you'd like to know more, please get in touch.

Andy Stirling-Martin
andy@oxfordknight.co.uk
020 3137 9579
linkedin.com/in/andrew-stirling-martin-7664a946","Full-time, Permanent",200000,-1,True
329,Nginx Expert Engineer,Mayson Tayor,"Job Description:
We are currently seeking an experienced engineer with deep understanding and extensive experience in Nginx to join our team. As the company's Nginx expert, you will be responsible for designing, configuring, and maintaining high-performance, highly available Nginx server environments to support the stable operation of our products and services.
Responsibilities:
Design, deploy, and optimize Nginx server architecture to ensure high performance, availability, and security.
Develop Nginx-related modules to meet business requirements.
Configure and manage Nginx reverse proxy, load balancing, caching, and other features.
Analyze and optimize Nginx configurations to improve server performance and response times.
Monitor and debug Nginx servers to promptly identify and resolve performance issues and failures.
Collaborate closely with the development team to provide technical support and recommendations, resolving Nginx-related technical challenges.
Continuously track and evaluate the latest technologies and trends in Nginx, driving technical innovation and improvement.
Requirements:
Bachelor’s degree in Computer Science or equivalent with 5+ years of relevant experience.
Extensive experience in Nginx configuration and management.
Experience in developing Nginx modules, familiar with various Nginx modules and features.
Deep understanding of HTTP, TCP/IP, load balancing, reverse proxy, and other network principles and protocols.
Proficiency in Linux systems and command-line tools, with excellent system administration and troubleshooting skills.
Experience in one or more programming languages such as Java, C, Go, Shell, Python.
Master the technical principles and best practices of related middleware (such as redis, elasticsearch, MySQL, Kafka, K8S, Docker, etc.).
Excellent communication skills and teamwork spirit, able to collaborate closely with the development team and other technical teams.
Other Info:
Working hours: 9am to 6pm, Monday to Firday.
Working location: Bugis
Salary Range :6000-10000 per month + AWS
Job Types: Full-time, Permanent, Fresh graduate
Salary: $6,000.00 - $10,000.00 per month
Benefits:
Additional leave
Employee assistance programme
Flexible schedule
Free parking
Parental leave
Promotion to permanent employee
Schedule:
Day shift
Monday to Friday
Supplemental pay types:
13th month salary
Attendance bonus
Commission pay
Overtime pay
Performance bonus
Retention bonus
Yearly bonus
Work Location: In person","Full-time, Fresh graduate, Permanent",10000,6000,False
284,Senior/ Software Engineer (Front-end),DCI CONSULTANTS PRIVATE LIMITED,"Job Summary:
The candidate will join our software engineering team, and will be responsible for the design, development, testing and maintenance of software systems . The candidate must be able to work independently and collaboratively with other software and systems engineers . The candidate must possess good problem-solving skills and be committed to deliver quality system.


Responsibilities:
Perform requirements analysis, system design, development, test and deploy applications
Develop web-based user-facing applications
Ensure technical feasibility of UI/UX designs
Analyze & solve performance and security related requirements in the applications.
Work with system testers to detect and rectify detects
Monitor application performance and troubleshoot issues
Produce documentation and artifacts
Provide pre-sales support in preparing solution proposals and product demonstrations
Provide technical support during maintenance phase of the system
Stay up to date with emerging technologies

Qualifications:
Diploma / Degree in Computer Science, IT, Engineering or equivalent.
At least 3 years of working experience in software development
Complete at least 1 full software development life cycle in a sizable software system project.
Proficient understanding of web markup , including HTML5, CSS3.
Basic understanding of server-side CSS pre-processing platforms , such as LESS and SASS.
Proficient understanding of client-side scripting and JavaScript frameworks , including jQuery.
Good understanding of asynchronous request handling, partial page updates, and AJAX.
Familiar with bootstrap framework and AngularJS or ReactJS.
Proficient in use of code versioning tools , such as GIT.
A team player who possesses good interpersonal, communication skills and ability to work independently and collaborate in a team.
Fresh graduate with good academic results and passions in software development and new IT technologies will be considered.
Added advantage
Professional certifications or post graduate degrees
Knowledge and experience with Big Data, OLAP and microservice systems
Familiar with system applications such as databases (Oracle/ MSSQL, Mongo DB), fault management systems and Business Intelligence (BI) tools
Knowledge in areas of cloud deployment/ services, data analytics/ algorithms
Knowledge and experience in Spring Boot and Micro Service System s
Experience in waterfall and Agile Scrum development practices
Experience in Traffic Management domain

**We regret that only shortlised candidates will be notified. Personal data collected will be used for recruitment purposes**","Full-time, Contract",9000,6000,False
236,Software Test Engineer,STEERING HOLDING PTE. LTD.,"We are Nexteer Automotive, a MNC – a leader in intuitive motion control – a multibillion-dollar global steering and driveline business delivering electric and hydraulic steering systems, steering columns and driveline systems, as well as ADAS and automated driving technologies for OEMs around the world.

You have good understanding and skills in ECU verification and validation in automotive electronic domain where quality and performance are crucial. You will develop test cases from functional requirements and define test plans to test complex embedded software features and communication protocols to meet project schedule. You have strong teamwork, communication skills and is comfortable with work challenges. You can lead and develop validation and verification knowhow and capability.

Senior engineer position may be offered depending on merit.

Job Description
1. Lead and develop Validation and Verification knowhow and capability for embedded systems
2. Analyze and de-compose customer, system, and safety requirements into software requirements
3. Response for the customer software testing implementation and communication
4. Define the test plan and test strategy based on software build plan and project schedule
5. Review and design software test cases according to the requirements
6. Perform software integration test, software unit test and system test based on V model and ASPICE
7. Log anomaly reports, support debugging and test bug-fix
8. Support software developer and system engineer on debugging
9. Coordinate with electrical application team to close test issues
10. Maintain test bench and test tools including calibration of test equipment
11. Soldering of PCB boards, wire harness and simulator box prototype making and assembly
12. Get quotations from vendors, raise purchase orders and payment requests
13. Accept other job responsibilities as required by software V&V supervisor
14. Maintain safety and good housekeeping

Job Requirements
1. Have at least 4 years of work experience in Validation and Verification of ECU in automotive industry
2. Have Bachelor degree or above in Electrical, Electronic, Computer or Software Engineering
3. Have good oral and written communication skills in English; Can speak clear & fluently for technical communication with US and China technical centers.
4. Able to attend night conference calls occasionally
5. EPS hardware, software and system knowledge is preferred
6. Able to travel to Suzhou China for training and work

Core Competencies
1. Ability to create complex software or system test scenarios based on functional requirements
2. Working knowledge of CAN/CAN-FD and Flexray communication in vehicular network messages and diagnostic services
3. Experience in UDS protocol and CAN/CAN-FD testing
4. Familiarity with basic tools for CAN/CAN-FD and Flexray communication network
5. Experience in Vector vTESTstudio or dSpace Autodesk
6. Experience in Vector CANoe, CANape, Diva and Candelastudio
7. Experience in HIL setup based on dSpace, VTsystem or Labview solutions preferred
8. C programming is a Must
9. Python, Vector CAPL and CASL programming preferred
10. Ability to review and find defects from Matlab models or directly from C code
11. Experience in using requirement management tools such as IBM Rational Doors
12. Experience in using IBM Rational Change and Synergy.
13. Familiarity with Autosar Architecture is plus
14. Familiarity with serial transmission protocol such as SPI, I2C, SENT
15. Familiarity with using the Oscilloscope
16. Familiarity with ISO26262 functional safety and software safety mechanisms such as memory protection units and watchdogs is plus
17. Familiarity with MISRA C standards
18. Understand the automotive system and software development process in V-model
19. Excellent debug and troubleshooting skills
20. Independent and matured

Candidates who do not have all the required competencies and skills but have positive attitudes and are keen in automotive system and software testing are encouraged to apply.

Fresh university graduates are also welcome to apply.",Full-time,9000,4000,False
